"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"TomorrowNow Inc.","","$20,000,000","$0","$20,000,000","2011","20110914","miscellaneous offenses","computer intrusion","","TomorrowNow, Inc., a non-operating subsidiary of SAP, was sentenced to probation and ordered to pay a fine to the United States of $20 million for unauthorized access to computer servers belonging to Oracle Corporation and for willfully infringing copyrights held by Oracle.","federal","agency action","U.S. Attorney-Northern District of California","criminal","","","","","","","","","","","","","","","","","","https://archives.fbi.gov/archives/sanfrancisco/press-releases/2011/tomorrownow-inc.-sentenced-on-computer-intrusion-and-copyright-infringement-charges",""
"Bizi International Inc.","","$219,439","$0","$219,439","2011","20110719","miscellaneous offenses","intellectual property violation","","","federal","agency action","U.S. Attorney-District of Massachusetts","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/ma/news/2011/July/BiziInternationalSentencingPR.html",""
"Sportingbet PLC","","$33,000,000","$0","$33,000,000","2010","20100920","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/September10/sportingbetnpapr.pdf",""
"Optimal Group Inc.","","$19,200,000","$0","$19,200,000","2009","20091030","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/October09/optimalgroupnpapr.pdf",""
"PartyGaming PLC","","$105,000,000","$0","$105,000,000","2009","20090407","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/April09/partygamingnonprosecutionagreementpr.pdf",""
"ESI Entertainment Systems Inc.","","$9,100,000","$0","$9,100,000","2008","20080605","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/June08/esidpapr.pdf",""
"Henderson Amusement Inc.","","$10,000,000","$0","$10,000,000","2008","20080220","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Western District of North Carolina","criminal","","","","","","North Carolina","","","","","","","","","","","","https://www.courtlistener.com/docket/5412492/united-states-v-henderson-amusement-inc/",""
"NETeller PLC","","$136,000,000","$0","$136,000,000","2007","20070718","miscellaneous offenses","illegal gambling business","","NETeller PLC  -- an Internet payment business based in the Isle of Man --  admitted to criminal wrongdoing and agreed to forfeit $136,000,000 in criminal proceeds as part of an agreement to defer prosecution of NETeller for its participation in a conspiracy to promote Internet gambling businesses and to operate an unlicensed money transmitting business. ","federal","agency action","U.S. Attorney-Southern District of New York","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/July07/netellerdpapr.pdf",""
"Electronic Clearing House Inc.","","$2,300,000","$0","$2,300,000","2007","20070327","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/March07/echonpapr.pdf",""
"Cape Fear Music Company","","$1,150,000","$0","$1,150,000","2003","20030618","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Eastern District of North Carolina","criminal","","","","","","North Carolina","","","","","","","","","","","","https://www.justice.gov/archive/usao/nce/press/2003/2003-Jun-18.html",""
"National Technology Development, L.L.C.","","$500,000","$0","$500,000","2018","20180328","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-Western District of New York","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-wdny/pr/washington-state-company-pleads-guilty-making-false-statement-involving-federal-grant",""
"SAAR Corporation","","$150,000","$0","$150,000","2018","20180427","miscellaneous offenses","firearms violation","","","federal","agency action","U.S. Attorney-District of Connecticut","criminal","","","","","","Connecticut","Farmington","","","","","","","","","","","https://www.justice.gov/usao-ct/pr/farmington-manufacturer-pleads-guilty-violating-federal-firearms-laws",""
"Cultural Resource Analysts, Inc.?","","$15,024","$0","$15,024","2018","20180418","miscellaneous offenses","Archaeological Resources Protection Act","","","federal","agency action","U.S. Attorney-Middle District of Tennessee","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-mdtn/pr/cultural-resource-analysts-inc-reaches-agreement-united-states-resolve-unauthorized",""
